,train_loss,train_beta_loss,train_rec,val1_loss,val1_beta_loss,val1_rec,val2_loss,val2_beta_loss,val2_rec
18,140.54693730672201,140.54693730672201,127.99372800191243,139.71390867233276,139.71390867233276,127.39601397514343,137.10473442077637,137.10473442077637,127.57180166244507
19,139.99782498677573,139.99782498677573,127.10694448153178,139.12419319152832,139.12419319152832,125.91788291931152,136.2230577468872,136.2230577468872,125.82443356513977
20,139.12017393112183,139.12017393112183,125.81384921073914,138.31369924545288,138.31369924545288,124.84683632850647,135.47648096084595,135.47648096084595,124.90957140922546
21,138.40894508361816,138.40894508361816,124.81761399904887,137.66018104553223,137.66018104553223,124.08882737159729,134.91323328018188,134.91323328018188,124.21120619773865
22,138.08811394373575,138.08811394373575,124.20751039187114,137.46244859695435,137.46244859695435,123.62136721611023,134.28433632850647,134.28433632850647,123.51505637168884
23,137.50498215357462,137.50498215357462,123.30574504534404,136.9328694343567,136.9328694343567,122.46062707901001,133.7756655216217,133.7756655216217,122.49923300743103
24,137.03655433654785,137.03655433654785,122.59033878644307,136.42482137680054,136.42482137680054,121.75484991073608,133.47870421409607,133.47870421409607,121.79030704498291
25,136.4138059616089,136.4138059616089,121.71229521433513,135.9813370704651,135.9813370704651,121.56787848472595,132.7336711883545,132.7336711883545,121.514413356781
26,135.78669230143228,135.78669230143228,120.80824065208435,135.681378364563,135.681378364563,120.76689553260803,132.5321660041809,132.5321660041809,120.87315106391907
27,135.39554913838705,135.39554913838705,120.22531938552856,135.19067287445068,135.19067287445068,119.8853497505188,131.90179467201233,131.90179467201233,119.81195664405823
28,134.91096250216165,134.91096250216165,119.52892088890076,134.75307393074036,134.75307393074036,119.15903210639954,131.51204824447632,131.51204824447632,119.25103688240051
29,134.53410609563193,134.53410609563193,118.94026843706767,134.41288828849792,134.41288828849792,118.94080448150635,131.0982105731964,131.0982105731964,118.80692601203918
30,133.91945012410483,133.91945012410483,118.1430417696635,133.9693741798401,133.9693741798401,118.0580096244812,130.64905309677124,130.64905309677124,118.03154754638672
31,133.47654843330383,133.47654843330383,117.50494798024495,133.59264492988586,133.59264492988586,117.78209805488586,130.13461756706238,130.13461756706238,117.66516709327698
32,133.33867327372232,133.33867327372232,117.17767945925395,133.24577021598816,133.24577021598816,117.16787815093994,129.88416385650635,129.88416385650635,117.22105479240417
33,132.87000830968222,132.87000830968222,116.50634336471558,132.7224588394165,132.7224588394165,116.30727362632751,129.76990866661072,129.76990866661072,116.64640522003174
34,132.59254384040833,132.59254384040833,116.0461429754893,132.97899723052979,132.97899723052979,116.43381428718567,129.21134233474731,129.21134233474731,116.22371554374695
35,132.1982938448588,132.1982938448588,115.44882520039876,132.21523237228394,132.21523237228394,115.36064338684082,128.74277901649475,128.74277901649475,115.44507670402527
36,131.69781041145325,131.69781041145325,114.7371376355489,131.84912252426147,131.84912252426147,114.96007800102234,128.37278842926025,128.37278842926025,115.00087523460388
37,131.44674595197043,131.44674595197043,114.29099774360657,131.851167678833,131.851167678833,114.99959516525269,128.09985089302063,128.09985089302063,114.96489524841309
38,130.9575449625651,130.9575449625651,113.63953193028767,131.21648955345154,131.21648955345154,114.16700434684753,127.60378885269165,127.60378885269165,114.10757303237915
39,130.69513138135275,130.69513138135275,113.23503430684407,130.95145773887634,130.95145773887634,113.67203569412231,127.45097780227661,127.45097780227661,113.77566075325012
40,130.43593064943948,130.43593064943948,112.79645299911499,130.79322719573975,130.79322719573975,113.37533164024353,127.15838170051575,127.15838170051575,113.32714915275574
41,130.09645779927573,130.09645779927573,112.32345573107402,130.6135218143463,130.6135218143463,112.73501229286194,127.08384084701538,127.08384084701538,112.79201173782349
42,129.81380232175192,129.81380232175192,111.91752449671428,130.50568461418152,130.50568461418152,112.73751640319824,126.55155396461487,126.55155396461487,112.60931444168091
